"CRUK0596_SU_T1.R1","CRUK0596_SU_T1.R2","CRUK0596_SU_T1.R3","CRUK0596_SU_T1.R4","CRUK0596_SU_T1.R5","CRUK0596_SU_T1.R6","CRUK0596_SU_T1.R7","CRUK0596_SU_T1.R8"
"clonal","clonal","clonal","clonal","clonal","clonal","clonal","clonal"
"absent","absent","absent","absent","absent","subclonal","clonal","absent"
"clonal","clonal","clonal","clonal","clonal","clonal","subclonal","clonal"
"clonal","clonal","clonal","clonal","clonal","clonal","subclonal","clonal"
"clonal","clonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","subclonal","absent"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"absent","absent","subclonal","absent","absent","absent","absent","absent"
"absent","absent","absent","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent","subclonal"
"absent","absent","absent","absent","absent","absent","absent","subclonal"
"clonal","absent","absent","absent","absent","absent","absent","absent"
"absent","absent","clonal","subclonal","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","absent","clonal","absent"
"absent","absent","absent","subclonal","clonal","absent","subclonal","absent"
"absent","absent","absent","absent","clonal","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","subclonal","clonal"
"absent","clonal","absent","absent","absent","absent","absent","absent"
"absent","absent","absent","absent","absent","subclonal","absent","absent"
"subclonal","subclonal","clonal","clonal","clonal","subclonal","subclonal","clonal"
"absent","absent","clonal","clonal","clonal","subclonal","subclonal","clonal"
